SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
0,,,,,,,,FFFFxxxx,,,,,2,
1,00000001,,00000000,,,00000001,00000001,00000001,00000000,00100008,20050001,0,2,
10,00000064,,00000000,,,00000064,00000064,00000064,00000000,00100009,20060064,0,2,0
15,00000064,,00000000,,,00000064,00000064,00000064,00000000,00100009,20060064,0,2,1
20,00001000,,00000000,,,00001000,00001000,00001000,00000000,0010000A,20021000,0,2,0
25,00001000,,00000000,,,00001000,00001000,00001000,00000000,0010000A,20021000,0,2,1
30,10000000,00001000,00001000,0000000A,00001000,10000000,10000000,00001000,00001000,0010000B,00421400,4,5,0
35,10000000,00001000,00001000,0000000A,00001000,10000000,10000000,00001000,00001000,0010000B,00421400,4,5,1
40,10000028,,10000000,0000000A,,10000028,10000028,00000028,10000000,0010000C,20470028,0,2,0
45,10000028,,10000000,0000000A,,10000028,10000028,00000028,10000000,0010000C,20470028,0,2,1
50,0000000A,,10000000,0000000A,,10000000,10000000,00000000,10000000,0010000D,8C430000,0,2,0
55,0000000A,,10000000,0000000A,,10000000,10000000,00000000,10000000,0010000D,8C430000,0,2,1
60,00000000,0000000A,00000064,0000000A,0000000A,00000000,00000000,0000000A,00000064,0010000E,00C3202A,4,7,0
65,00000000,0000000A,00000064,0000000A,0000000A,00000000,00000000,0000000A,00000064,0010000E,00C3202A,4,7,1
70,FFFFFFFF,00000001,00000000,0000000A,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
75,FFFFFFFF,00000001,00000000,0000000A,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
80,0000005A,0000000A,00000064,0000000A,0000000A,0000005A,0000005A,0000000A,00000064,00100010,00C33022,4,6,0
85,0000005A,0000000A,00000064,0000000A,0000000A,0000005A,0000005A,0000000A,00000064,00100010,00C33022,4,6,1
90,10000000,00000000,10000000,00000000,00000000,10000000,10000000,00000000,10000000,00100011,AC400000,0,2,0
95,10000000,00000000,10000000,00000000,00000000,10000000,10000000,00000000,10000000,00100011,AC400000,0,2,1
100,10000004,10000000,10000000,00000009,10000000,10000004,10000004,00000004,10000000,00100012,20420004,0,2,0
105,10000004,10000000,10000000,00000009,10000000,10000004,10000004,00000004,10000000,00100012,20420004,0,2,1
110,FFFFFFDC,10000028,10000004,00000009,10000028,FFFFFFDC,FFFFFFDC,10000028,10000004,00100013,1447FFF9,1,6,0
115,FFFFFFDC,10000028,10000004,00000009,10000028,FFFFFFDC,FFFFFFDC,10000028,10000004,00100013,1447FFF9,1,6,1
120,00000009,0000000A,10000004,00000009,0000000A,10000004,10000004,00000000,10000004,0010000D,8C430000,0,2,0
125,00000009,0000000A,10000004,00000009,0000000A,10000004,10000004,00000000,10000004,0010000D,8C430000,0,2,1
130,00000000,00000009,0000005A,00000009,00000009,00000000,00000000,00000009,0000005A,0010000E,00C3202A,4,7,0
135,00000000,00000009,0000005A,00000009,00000009,00000000,00000000,00000009,0000005A,0010000E,00C3202A,4,7,1
140,FFFFFFFF,00000001,00000000,00000009,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
145,FFFFFFFF,00000001,00000000,00000009,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
150,00000051,00000009,0000005A,00000009,00000009,00000051,00000051,00000009,0000005A,00100010,00C33022,4,6,0
155,00000051,00000009,0000005A,00000009,00000009,00000051,00000051,00000009,0000005A,00100010,00C33022,4,6,1
160,10000004,00000000,10000004,00000000,00000000,10000004,10000004,00000000,10000004,00100011,AC400000,0,2,0
165,10000004,00000000,10000004,00000000,00000000,10000004,10000004,00000000,10000004,00100011,AC400000,0,2,1
170,10000008,10000004,10000004,00000008,10000004,10000008,10000008,00000004,10000004,00100012,20420004,0,2,0
175,10000008,10000004,10000004,00000008,10000004,10000008,10000008,00000004,10000004,00100012,20420004,0,2,1
180,FFFFFFE0,10000028,10000008,00000000,10000028,FFFFFFE0,FFFFFFE0,10000028,10000008,00100013,1447FFF9,1,6,0
185,FFFFFFE0,10000028,10000008,00000000,10000028,FFFFFFE0,FFFFFFE0,10000028,10000008,00100013,1447FFF9,1,6,1
