SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
0,,,,,,,,FFFFxxxx,,,,,2,
1,00001000,,00000000,,,00001000,00001000,00001000,00000000,00100008,20021000,0,2,
10,10000000,00001000,00001000,00000009,00001000,10000000,10000000,00001000,00001000,00100009,00421400,4,5,0
15,10000000,00001000,00001000,00000009,00001000,10000000,10000000,00001000,00001000,00100009,00421400,4,5,1
20,10000024,,10000000,00000003,,10000024,10000024,00000024,10000000,0010000A,20440024,0,2,0
25,10000024,,10000000,00000003,,10000024,10000024,00000024,10000000,0010000A,20440024,0,2,1
30,10000028,,10000000,00000003,,10000028,10000028,00000028,10000000,0010000B,20450028,0,2,0
35,10000028,,10000000,00000003,,10000028,10000028,00000028,10000000,0010000B,20450028,0,2,1
40,00000009,,10000000,00000009,,10000000,10000000,00000000,10000000,0010000C,8C470000,0,2,0
45,00000009,,10000000,00000009,,10000000,10000000,00000000,10000000,0010000C,8C470000,0,2,1
50,10000004,,10000000,0000000A,,10000004,10000004,00000004,10000000,0010000D,20430004,0,2,0
55,10000004,,10000000,0000000A,,10000004,10000004,00000004,10000000,0010000D,20430004,0,2,1
60,0000000A,,10000004,0000000A,,10000004,10000004,00000000,10000004,0010000E,8C610000,0,2,0
65,0000000A,,10000004,0000000A,,10000004,10000004,00000000,10000004,0010000E,8C610000,0,2,1
70,00000001,0000000A,00000009,0000000A,0000000A,00000001,00000001,0000000A,00000009,0010000F,00E1302A,4,7,0
75,00000001,0000000A,00000009,0000000A,0000000A,00000001,00000001,0000000A,00000009,0010000F,00E1302A,4,7,1
80,00000001,00000000,00000001,0000000A,00000000,00000001,00000001,00000000,00000001,00100010,1CC00003,0,2,0
85,00000001,00000000,00000001,0000000A,00000000,00000001,00000001,00000000,00000001,00100010,1CC00003,0,2,1
90,10000008,10000004,10000004,00000008,10000004,10000008,10000008,00000004,10000004,00100014,20630004,0,2,0
95,10000008,10000004,10000004,00000008,10000004,10000008,10000008,00000004,10000004,00100014,20630004,0,2,1
100,FFFFFFE0,10000028,10000008,00000009,10000028,FFFFFFE0,FFFFFFE0,10000028,10000008,00100015,1465FFF8,1,6,0
105,FFFFFFE0,10000028,10000008,00000009,10000028,FFFFFFE0,FFFFFFE0,10000028,10000008,00100015,1465FFF8,1,6,1
110,00000008,0000000A,10000008,00000008,0000000A,10000008,10000008,00000000,10000008,0010000E,8C610000,0,2,0
115,00000008,0000000A,10000008,00000008,0000000A,10000008,10000008,00000000,10000008,0010000E,8C610000,0,2,1
120,00000000,00000008,00000009,00000008,00000008,00000000,00000000,00000008,00000009,0010000F,00E1302A,4,7,0
125,00000000,00000008,00000009,00000008,00000008,00000000,00000000,00000008,00000009,0010000F,00E1302A,4,7,1
