SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
0,,,,,,,,FFFFxxxx,,,,,2,
1,00000000,00000000,00000000,,00000000,00000000,00000000,00000000,00000000,00100008,00002820,4,2,
10,00001000,,00000000,,,00001000,00001000,00001000,00000000,00100009,20071000,0,2,0
15,00001000,,00000000,,,00001000,00001000,00001000,00000000,00100009,20071000,0,2,1
20,10000000,00001000,00001000,0000000F,00001000,10000000,10000000,00001000,00001000,0010000A,00E73C00,4,5,0
25,10000000,00001000,00001000,0000000F,00001000,10000000,10000000,00001000,00001000,0010000A,00E73C00,4,5,1
30,10000000,00000000,10000000,0000000F,00000000,10000000,10000000,00000000,10000000,0010000B,00E03020,4,2,0
35,10000000,00000000,10000000,0000000F,00000000,10000000,10000000,00000000,10000000,0010000B,00E03020,4,2,1
40,10000028,10000000,10000000,FFFFFFFF,10000000,10000028,10000028,00000028,10000000,0010000C,20C60028,0,2,0
45,10000028,10000000,10000000,FFFFFFFF,10000000,10000028,10000028,00000028,10000000,0010000C,20C60028,0,2,1
50,0000000F,,10000000,0000000F,,10000000,10000000,00000000,10000000,0010000D,8CE40000,0,2,0
55,0000000F,,10000000,0000000F,,10000000,10000000,00000000,10000000,0010000D,8CE40000,0,2,1
60,0000000F,0000000F,00000000,0000000F,0000000F,0000000F,0000000F,0000000F,00000000,0010000E,00A42821,4,2,0
65,0000000F,0000000F,00000000,0000000F,0000000F,0000000F,0000000F,0000000F,00000000,0010000E,00A42821,4,2,1
70,10000004,10000000,10000000,000000F0,10000000,10000004,10000004,00000004,10000000,0010000F,20E70004,0,2,0
75,10000004,10000000,10000000,000000F0,10000000,10000004,10000004,00000004,10000000,0010000F,20E70004,0,2,1
80,FFFFFFDC,10000028,10000004,000000F0,10000028,FFFFFFDC,FFFFFFDC,10000028,10000004,00100010,14E6FFFC,1,6,0
85,FFFFFFDC,10000028,10000004,000000F0,10000028,FFFFFFDC,FFFFFFDC,10000028,10000004,00100010,14E6FFFC,1,6,1
90,000000F0,0000000F,10000004,000000F0,0000000F,10000004,10000004,00000000,10000004,0010000D,8CE40000,0,2,0
95,000000F0,0000000F,10000004,000000F0,0000000F,10000004,10000004,00000000,10000004,0010000D,8CE40000,0,2,1
100,000000FF,000000F0,0000000F,000000F0,000000F0,000000FF,000000FF,000000F0,0000000F,0010000E,00A42821,4,2,0
105,000000FF,000000F0,0000000F,000000F0,000000F0,000000FF,000000FF,000000F0,0000000F,0010000E,00A42821,4,2,1
110,10000008,10000004,10000004,00000F00,10000004,10000008,10000008,00000004,10000004,0010000F,20E70004,0,2,0
115,10000008,10000004,10000004,00000F00,10000004,10000008,10000008,00000004,10000004,0010000F,20E70004,0,2,1
120,FFFFFFE0,10000028,10000008,0000000F,10000028,FFFFFFE0,FFFFFFE0,10000028,10000008,00100010,14E6FFFC,1,6,0
125,FFFFFFE0,10000028,10000008,0000000F,10000028,FFFFFFE0,FFFFFFE0,10000028,10000008,00100010,14E6FFFC,1,6,1
130,00000F00,000000F0,10000008,00000F00,000000F0,10000008,10000008,00000000,10000008,0010000D,8CE40000,0,2,0
135,00000F00,000000F0,10000008,00000F00,000000F0,10000008,10000008,00000000,10000008,0010000D,8CE40000,0,2,1
140,00000FFF,00000F00,000000FF,00000F00,00000F00,00000FFF,00000FFF,00000F00,000000FF,0010000E,00A42821,4,2,0
145,00000FFF,00000F00,000000FF,00000F00,00000F00,00000FFF,00000FFF,00000F00,000000FF,0010000E,00A42821,4,2,1
150,1000000C,10000008,10000008,0000F000,10000008,1000000C,1000000C,00000004,10000008,0010000F,20E70004,0,2,0
155,1000000C,10000008,10000008,0000F000,10000008,1000000C,1000000C,00000004,10000008,0010000F,20E70004,0,2,1
160,FFFFFFE4,10000028,1000000C,000000F0,10000028,FFFFFFE4,FFFFFFE4,10000028,1000000C,00100010,14E6FFFC,1,6,0
165,FFFFFFE4,10000028,1000000C,000000F0,10000028,FFFFFFE4,FFFFFFE4,10000028,1000000C,00100010,14E6FFFC,1,6,1
170,0000F000,00000F00,1000000C,0000F000,00000F00,1000000C,1000000C,00000000,1000000C,0010000D,8CE40000,0,2,0
175,0000F000,00000F00,1000000C,0000F000,00000F00,1000000C,1000000C,00000000,1000000C,0010000D,8CE40000,0,2,1
180,0000FFFF,0000F000,00000FFF,0000F000,0000F000,0000FFFF,0000FFFF,0000F000,00000FFF,0010000E,00A42821,4,2,0
185,0000FFFF,0000F000,00000FFF,0000F000,0000F000,0000FFFF,0000FFFF,0000F000,00000FFF,0010000E,00A42821,4,2,1
190,10000010,1000000C,1000000C,000F0000,1000000C,10000010,10000010,00000004,1000000C,0010000F,20E70004,0,2,0
195,10000010,1000000C,1000000C,000F0000,1000000C,10000010,10000010,00000004,1000000C,0010000F,20E70004,0,2,1
200,FFFFFFE8,10000028,10000010,00000F00,10000028,FFFFFFE8,FFFFFFE8,10000028,10000010,00100010,14E6FFFC,1,6,0
205,FFFFFFE8,10000028,10000010,00000F00,10000028,FFFFFFE8,FFFFFFE8,10000028,10000010,00100010,14E6FFFC,1,6,1
210,000F0000,0000F000,10000010,000F0000,0000F000,10000010,10000010,00000000,10000010,0010000D,8CE40000,0,2,0
215,000F0000,0000F000,10000010,000F0000,0000F000,10000010,10000010,00000000,10000010,0010000D,8CE40000,0,2,1
220,000FFFFF,000F0000,0000FFFF,000F0000,000F0000,000FFFFF,000FFFFF,000F0000,0000FFFF,0010000E,00A42821,4,2,0
225,000FFFFF,000F0000,0000FFFF,000F0000,000F0000,000FFFFF,000FFFFF,000F0000,0000FFFF,0010000E,00A42821,4,2,1
230,10000014,10000010,10000010,00F00000,10000010,10000014,10000014,00000004,10000010,0010000F,20E70004,0,2,0
235,10000014,10000010,10000010,00F00000,10000010,10000014,10000014,00000004,10000010,0010000F,20E70004,0,2,1
240,FFFFFFEC,10000028,10000014,0000F000,10000028,FFFFFFEC,FFFFFFEC,10000028,10000014,00100010,14E6FFFC,1,6,0
245,FFFFFFEC,10000028,10000014,0000F000,10000028,FFFFFFEC,FFFFFFEC,10000028,10000014,00100010,14E6FFFC,1,6,1
250,00F00000,000F0000,10000014,00F00000,000F0000,10000014,10000014,00000000,10000014,0010000D,8CE40000,0,2,0
255,00F00000,000F0000,10000014,00F00000,000F0000,10000014,10000014,00000000,10000014,0010000D,8CE40000,0,2,1
260,00FFFFFF,00F00000,000FFFFF,00F00000,00F00000,00FFFFFF,00FFFFFF,00F00000,000FFFFF,0010000E,00A42821,4,2,0
265,00FFFFFF,00F00000,000FFFFF,00F00000,00F00000,00FFFFFF,00FFFFFF,00F00000,000FFFFF,0010000E,00A42821,4,2,1
270,10000018,10000014,10000014,0F000000,10000014,10000018,10000018,00000004,10000014,0010000F,20E70004,0,2,0
275,10000018,10000014,10000014,0F000000,10000014,10000018,10000018,00000004,10000014,0010000F,20E70004,0,2,1
280,FFFFFFF0,10000028,10000018,000F0000,10000028,FFFFFFF0,FFFFFFF0,10000028,10000018,00100010,14E6FFFC,1,6,0
285,FFFFFFF0,10000028,10000018,000F0000,10000028,FFFFFFF0,FFFFFFF0,10000028,10000018,00100010,14E6FFFC,1,6,1
290,0F000000,00F00000,10000018,0F000000,00F00000,10000018,10000018,00000000,10000018,0010000D,8CE40000,0,2,0
295,0F000000,00F00000,10000018,0F000000,00F00000,10000018,10000018,00000000,10000018,0010000D,8CE40000,0,2,1
300,0FFFFFFF,0F000000,00FFFFFF,0F000000,0F000000,0FFFFFFF,0FFFFFFF,0F000000,00FFFFFF,0010000E,00A42821,4,2,0
305,0FFFFFFF,0F000000,00FFFFFF,0F000000,0F000000,0FFFFFFF,0FFFFFFF,0F000000,00FFFFFF,0010000E,00A42821,4,2,1
310,1000001C,10000018,10000018,10000000,10000018,1000001C,1000001C,00000004,10000018,0010000F,20E70004,0,2,0
315,1000001C,10000018,10000018,10000000,10000018,1000001C,1000001C,00000004,10000018,0010000F,20E70004,0,2,1
320,FFFFFFF4,10000028,1000001C,00F00000,10000028,FFFFFFF4,FFFFFFF4,10000028,1000001C,00100010,14E6FFFC,1,6,0
325,FFFFFFF4,10000028,1000001C,00F00000,10000028,FFFFFFF4,FFFFFFF4,10000028,1000001C,00100010,14E6FFFC,1,6,1
330,10000000,0F000000,1000001C,10000000,0F000000,1000001C,1000001C,00000000,1000001C,0010000D,8CE40000,0,2,0
335,10000000,0F000000,1000001C,10000000,0F000000,1000001C,1000001C,00000000,1000001C,0010000D,8CE40000,0,2,1
340,1FFFFFFF,10000000,0FFFFFFF,10000000,10000000,1FFFFFFF,1FFFFFFF,10000000,0FFFFFFF,0010000E,00A42821,4,2,0
345,1FFFFFFF,10000000,0FFFFFFF,10000000,10000000,1FFFFFFF,1FFFFFFF,10000000,0FFFFFFF,0010000E,00A42821,4,2,1
350,10000020,1000001C,1000001C,20000000,1000001C,10000020,10000020,00000004,1000001C,0010000F,20E70004,0,2,0
355,10000020,1000001C,1000001C,20000000,1000001C,10000020,10000020,00000004,1000001C,0010000F,20E70004,0,2,1
360,FFFFFFF8,10000028,10000020,0F000000,10000028,FFFFFFF8,FFFFFFF8,10000028,10000020,00100010,14E6FFFC,1,6,0
365,FFFFFFF8,10000028,10000020,0F000000,10000028,FFFFFFF8,FFFFFFF8,10000028,10000020,00100010,14E6FFFC,1,6,1
370,20000000,10000000,10000020,20000000,10000000,10000020,10000020,00000000,10000020,0010000D,8CE40000,0,2,0
375,20000000,10000000,10000020,20000000,10000000,10000020,10000020,00000000,10000020,0010000D,8CE40000,0,2,1
380,3FFFFFFF,20000000,1FFFFFFF,20000000,20000000,3FFFFFFF,3FFFFFFF,20000000,1FFFFFFF,0010000E,00A42821,4,2,0
385,3FFFFFFF,20000000,1FFFFFFF,20000000,20000000,3FFFFFFF,3FFFFFFF,20000000,1FFFFFFF,0010000E,00A42821,4,2,1
390,10000024,10000020,10000020,C0000000,10000020,10000024,10000024,00000004,10000020,0010000F,20E70004,0,2,0
395,10000024,10000020,10000020,C0000000,10000020,10000024,10000024,00000004,10000020,0010000F,20E70004,0,2,1
400,FFFFFFFC,10000028,10000024,10000000,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100010,14E6FFFC,1,6,0
405,FFFFFFFC,10000028,10000024,10000000,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100010,14E6FFFC,1,6,1
410,C0000000,20000000,10000024,C0000000,20000000,10000024,10000024,00000000,10000024,0010000D,8CE40000,0,2,0
415,C0000000,20000000,10000024,C0000000,20000000,10000024,10000024,00000000,10000024,0010000D,8CE40000,0,2,1
420,FFFFFFFF,C0000000,3FFFFFFF,C0000000,C0000000,FFFFFFFF,FFFFFFFF,C0000000,3FFFFFFF,0010000E,00A42821,4,2,0
425,FFFFFFFF,C0000000,3FFFFFFF,C0000000,C0000000,FFFFFFFF,FFFFFFFF,C0000000,3FFFFFFF,0010000E,00A42821,4,2,1
430,10000028,10000024,10000024,FFFFFFFF,10000024,10000028,10000028,00000004,10000024,0010000F,20E70004,0,2,0
435,10000028,10000024,10000024,FFFFFFFF,10000024,10000028,10000028,00000004,10000024,0010000F,20E70004,0,2,1
440,00000000,10000028,10000028,20000000,10000028,00000000,00000000,10000028,10000028,00100010,14E6FFFC,1,6,0
445,00000000,10000028,10000028,20000000,10000028,00000000,00000000,10000028,10000028,00100010,14E6FFFC,1,6,1
450,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100011,ACE50000,0,2,0
455,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100011,ACE50000,0,2,1
460,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100012,ACE50000,0,2,0
465,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100012,ACE50000,0,2,1
470,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100013,ACE50000,0,2,0
475,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100013,ACE50000,0,2,1
480,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100014,ACE50000,0,2,0
485,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100014,ACE50000,0,2,1
490,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100015,ACE50000,0,2,0
495,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100015,ACE50000,0,2,1
500,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100016,ACE50000,0,2,0
505,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100016,ACE50000,0,2,1
510,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100017,ACE50000,0,2,0
515,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100017,ACE50000,0,2,1
520,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100018,ACE50000,0,2,0
525,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100018,ACE50000,0,2,1
530,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100019,ACE50000,0,2,0
535,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100019,ACE50000,0,2,1
540,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,0010001A,ACE50000,0,2,0
